Model,CENT/GPU Normalized Token / J
Llama2-7B,0.3755921666006276
Llama2-13B,0.3637261960083936
Llama2-70B,0.547769961529862
Llama2-7B,4.247427006908908
Llama2-13B,2.1331182675231757
Llama2-70B,1.7910378786763428
Llama2-7B,3.8498794485048298
Llama2-13B,1.885528335350041
Llama2-70B,1.605237329356064
Geomean,2.2671129003163832
