CENT Throughput (Query/min),CENT Latency (min),GPU Throughput (Query/min),GPU Latency (min)
1.7110011417122262,0.6275376518476192,0.47,2.1176666666666666
3.315860683211219,0.6449650589809524,0.91,2.1861666666666664
6.071463192729908,0.6972196558809525,1.76,2.266833333333333
10.12037751725481,0.8256090643,3.21,2.495166666666667
15.180214665547634,1.0839268975547618,5.02,3.184833333333333
17.770297158714698,4.5554157072880965,8.42,3.802333333333333
,,12.36,5.178666666666667
,,15.02,8.521666666666667
