Prefill Latency (min),Decoding Latency (min)
0.35,0.21
0.47901224950624993,
0.35,0.85
0.47901224950624993,
0.35,1.8
0.47901224950624993,1.0144847870124998
0.35,8.17
0.47901224950624993,4.095120977263751
