Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-7B,8,32,1,32,8,1408,0.267283,0.00032238887363,0.02692,0.2945253888736301,0.237748,9.812560443956164,3261.1264086235224,67.2286762019189,251.5261958370673,1.0
Llama2-7B,8,32,1,32,8,1536,0.272467,0.00032238887363,0.02868,0.3014693888736301,0.237748,10.034768443956164,3188.9126469353923,67.74749491943255,248.64477136472493,1.0
Llama2-7B,8,32,1,32,8,1664,0.277651,0.00032238887363,0.03044,0.3084133888736301,0.237748,10.256976443956164,3119.8277752559065,68.26631363694618,245.8709445921181,1.0
Llama2-7B,8,32,1,32,8,1792,0.282835,0.00032238887363,0.0322,0.3153573888736301,0.237748,10.479184443956164,3053.672752029467,68.78513235445985,243.198799138932,1.0
Llama2-7B,8,32,1,32,8,1920,0.288019,0.00032238887363,0.03396,0.3223013888736301,0.237748,10.701392443956165,2990.265067614885,69.30395107197349,240.6228445761338,1.0
Llama2-7B,8,32,1,32,8,2048,0.293203,0.00032238887363,0.03572,0.3292453888736301,0.237748,10.923600443956165,2929.437062823461,69.8227697894871,238.1379787706372,1.0
Llama2-7B,8,32,1,32,8,2176,0.301009,0.00032238887363,0.03748,0.3388113888736301,0.237748,11.229712443956164,2849.583207023472,70.81688586029432,235.26501154548305,1.0
Llama2-7B,8,32,1,32,8,2304,0.306193,0.00032238887363,0.03924,0.3457553888736301,0.237748,11.451920443956164,2794.2911546236105,71.33570457780793,232.9762750219893,1.0
Llama2-7B,8,32,1,32,8,2432,0.311377,0.00032238887363,0.0409999999999999,0.3526993888736301,0.237748,11.674128443956164,2741.103985074516,71.85452329532163,230.76374714677576,1.0
Llama2-7B,8,32,1,32,8,2560,0.316561,0.00032238887363,0.0427599999999999,0.3596433888736301,0.237748,11.896336443956164,2689.903749003109,72.3733420128353,228.6236839434904,1.0
Llama2-7B,8,32,1,32,8,2688,0.321745,0.00032238887363,0.04452,0.3665873888736301,0.237748,12.118544443956164,2640.5811480073617,72.89216073034892,226.55258272964272,1.0
Llama2-7B,8,32,1,32,8,2816,0.326929,0.00032238887363,0.04628,0.3735313888736301,0.237748,12.340752443956164,2593.034755807931,73.41097944786254,224.5471629860384,1.0
Llama2-7B,8,32,1,32,8,2944,0.332113,0.00032238887363,0.04804,0.3804753888736301,0.237748,12.562960443956165,2547.170322055315,73.9297981653762,222.60434901788307,1.0
Llama2-7B,8,32,1,32,8,3072,0.337297,0.00032238887363,0.0498,0.3874193888736301,0.237748,12.785168443956165,2502.900148736572,74.44861688288987,220.7212542148013,1.0
Llama2-7B,8,32,1,32,8,3200,0.345103,0.00032238887363,0.0515599999999999,0.3969853888736301,0.237748,13.091280443956164,2444.3751042529534,75.442732953697,218.60932230000043,1.0
Llama2-7B,8,32,1,32,8,3328,0.350287,0.00032238887363,0.0533199999999999,0.4039293888736301,0.237748,13.313488443956164,2403.5774045777484,75.9615516712107,216.8551835243976,1.0
Llama2-7B,8,32,1,32,8,3456,0.355471,0.00032238887363,0.05508,0.4108733888736301,0.237748,13.535696443956164,2364.119211190522,76.48037038872434,215.1522076026577,1.0
Llama2-7B,8,32,1,32,8,3584,0.360655,0.00032238887363,0.05684,0.4178173888736301,0.237748,13.757904443956164,2325.9356197998286,76.99918910623798,213.4981883135904,1.0
Llama2-7B,8,32,1,32,8,3712,0.365839,0.00032238887363,0.0586,0.4247613888736301,0.237748,13.980112443956164,2288.965852619743,77.51800782375163,211.8910444861034,1.0
Llama2-7B,8,32,1,32,8,3840,0.371023,0.00032238887363,0.06036,0.4317053888736301,0.237748,14.202320443956165,2253.15293555552,78.03682654126528,210.3288112630896,1.0
Llama2-7B,8,32,1,32,8,3968,0.376207,0.00032238887363,0.0621199999999999,0.4386493888736301,0.237748,14.424528443956165,2218.4434052267343,78.55564525877892,208.8096320875978,1.0
Llama2-7B,8,32,1,32,8,4096,0.381391,0.00032238887363,0.0638799999999999,0.4455933888736301,0.237748,14.646736443956163,2184.7870426592194,79.07446397629258,207.33175134256595,1.0
Llama2-13B,20,40,1,32,16,128,0.1663145,0.0006398072596958,0.0058105,0.1727648072596958,0.1499815,7.210573790387835,5547.408730956004,121.94751420371614,733.2344095296329,1.0
Llama2-13B,20,40,1,32,16,256,0.168486,0.0006398072596958,0.0069105,0.1760363072596958,0.1499815,7.3414337903878355,5448.526969264796,122.34178467264644,726.1243347972319,1.0
Llama2-13B,20,40,1,32,16,384,0.1728785,0.0006398072596958,0.0080105,0.1815288072596958,0.1499815,7.561133790387835,5290.211905898344,123.64214138685396,715.1967502428236,1.0
Llama2-13B,20,40,1,32,16,512,0.17505,0.0006398072596958,0.0091105,0.1848003072596958,0.1499815,7.691993790387835,5200.212206357382,124.03641185578428,708.5770457342716,1.0
Llama2-13B,20,40,1,32,16,640,0.1794425,0.0006398072596958,0.0102105,0.1902928072596958,0.1499815,7.911693790387836,5055.807398486181,125.3367685699918,698.4787247725136,1.0
Llama2-13B,20,40,1,32,16,768,0.181614,0.0006398072596958,0.0113105,0.1935643072596958,0.1499815,8.042553790387835,4973.544603183945,125.73103903892208,692.2981655539885,1.0
Llama2-13B,20,40,1,32,16,896,0.1860065,0.0006398072596958,0.0124105,0.1990568072596958,0.1499815,8.262253790387835,4841.294036081937,127.03139575312969,682.9406270916858,1.0
Llama2-13B,20,40,1,32,16,1024,0.188178,0.0006398072596958,0.0135105,0.2023283072596959,0.1499815,8.393113790387835,4765.811711716547,127.42566622205996,677.1549608459007,1.0
Llama2-13B,20,40,1,32,16,1152,0.194589,0.0006398072596958,0.0146105,0.2098393072596958,0.1499815,8.693553790387837,4601.110312818979,129.67705328356757,666.4151276976988,1.0
Llama2-13B,20,40,1,32,16,1280,0.1967605,0.0006398072596958,0.0157105,0.2131108072596959,0.1499815,8.824413790387835,4532.879004786786,130.07132375249776,661.0642062431115,1.0
Llama2-13B,20,40,1,32,16,1408,0.201153,0.0006398072596958,0.0168105,0.2186033072596958,0.1499815,9.044113790387836,4422.766113636513,131.37168046670533,653.0933193474885,1.0
Llama2-13B,20,40,1,32,16,1536,0.2033245,0.0006398072596958,0.0179105,0.2218748072596958,0.1499815,9.174973790387831,4359.685478546655,131.7659509356357,648.0574202107256,1.0
Llama2-13B,20,40,1,32,16,1664,0.207717,0.0006398072596958,0.0190105,0.2273673072596959,0.1499815,9.394673790387836,4257.731656518613,133.06630764984322,640.6134676018004,1.0
Llama2-13B,20,40,1,32,16,1792,0.2098885,0.0006398072596958,0.0201105,0.2306388072596958,0.1499815,9.525533790387836,4199.239736083219,133.46057811877347,635.8641760685957,1.0
Llama2-13B,20,40,1,32,16,1920,0.214281,0.0006398072596958,0.0212104999999999,0.2361313072596958,0.1499815,9.745233790387834,4104.570589107242,134.76093483298104,628.8981983142742,1.0
Llama2-13B,20,40,1,32,16,2048,0.2164525,0.0006398072596958,0.0223105,0.2394028072596958,0.1499815,9.876093790387836,4050.184298465354,135.15520530191134,624.410460964467,1.0
Llama2-13B,20,40,1,32,16,2176,0.222835,0.0006398072596958,0.0234104999999999,0.2468853072596958,0.1499815,10.175393790387837,3931.051792588698,137.3560105408434,616.4023180417946,1.0
Llama2-13B,20,40,1,32,16,2304,0.2250065,0.0006398072596958,0.0245105,0.2501568072596958,0.1499815,10.306253790387832,3881.138657511632,137.75028100977363,612.2057852096433,1.0
